"X1" "X2" "X3" "X4" "X5" "X6" "X7" "X8" "Y"
"1" 540 0 0 162 2.5 1040 676 28 79.98611076
"2" 540 0 0 162 2.5 1055 676 28 61.88736576
"3" 332.5 142.5 0 228 0 932 594 270 40.269535256
"4" 332.5 142.5 0 228 0 932 594 365 41.052779992
"5" 198.6 132.4 0 192 0 978.4 825.5 360 44.296075096
"6" 266 114 0 228 0 932 670 90 47.029847436
"7" 380 95 0 228 0 932 594 365 43.698299404
"8" 380 95 0 228 0 932 594 28 36.447769788
"9" 266 114 0 228 0 932 670 28 45.854290856
"10" 475 0 0 228 0 932 594 28 39.28978986
"11" 198.6 132.4 0 192 0 978.4 825.5 90 38.074243672
"12" 198.6 132.4 0 192 0 978.4 825.5 28 28.021683592
"13" 427.5 47.5 0 228 0 932 594 270 43.01296026
"14" 190 190 0 228 0 932 670 90 42.32693164
"15" 304 76 0 228 0 932 670 28 47.813781648
"16" 380 0 0 228 0 932 670 90 52.908319812
"17" 139.6 209.4 0 192 0 1047 806.9 90 39.358047984
"18" 342 38 0 228 0 932 670 365 56.141962252
"19" 380 95 0 228 0 932 594 90 40.563252032
"20" 475 0 0 228 0 932 594 180 42.620648416
"21" 427.5 47.5 0 228 0 932 594 180 41.836714204
"22" 139.6 209.4 0 192 0 1047 806.9 28 28.23748958
"23" 139.6 209.4 0 192 0 1047 806.9 3 8.06342182
"24" 139.6 209.4 0 192 0 1047 806.9 180 44.207822168
"25" 380 0 0 228 0 932 670 365 52.516697444
"26" 380 0 0 228 0 932 670 270 53.300631656
"27" 380 95 0 228 0 932 594 270 41.15137506
"28" 342 38 0 228 0 932 670 180 52.1243856
"29" 427.5 47.5 0 228 0 932 594 28 37.427515184
"30" 475 0 0 228 0 932 594 7 38.60376124
"31" 304 76 0 228 0 932 670 365 55.260122448
"32" 266 114 0 228 0 932 670 365 52.908319812
"33" 198.6 132.4 0 192 0 978.4 825.5 180 41.719503284
"34" 475 0 0 228 0 932 594 270 42.131120456
"35" 190 190 0 228 0 932 670 365 53.692254024
"36" 237.5 237.5 0 228 0 932 594 270 38.407950056
"37" 237.5 237.5 0 228 0 932 594 28 30.079769452
"38" 332.5 142.5 0 228 0 932 594 90 37.721921436
"39" 475 0 0 228 0 932 594 90 42.229026048
"40" 237.5 237.5 0 228 0 932 594 180 36.251958604
"41" 342 38 0 228 0 932 670 90 50.45930106
"42" 427.5 47.5 0 228 0 932 594 365 43.698299404
"43" 237.5 237.5 0 228 0 932 594 365 38.995383608
"44" 380 0 0 228 0 932 670 180 53.104130996
"45" 427.5 47.5 0 228 0 932 594 90 41.542997428
"46" 427.5 47.5 0 228 0 932 594 7 35.076402024
"47" 349 0 0 192 0 1047 806.9 3 15.049192652
"48" 380 95 0 228 0 932 594 180 40.759063216
"49" 237.5 237.5 0 228 0 932 594 7 26.258003984
"50" 380 95 0 228 0 932 594 7 32.823194456
"51" 332.5 142.5 0 228 0 932 594 180 39.77931782
"52" 190 190 0 228 0 932 670 180 46.931941844
"53" 237.5 237.5 0 228 0 932 594 90 33.116911232
"54" 304 76 0 228 0 932 670 90 49.185149412
"55" 139.6 209.4 0 192 0 1047 806.9 7 14.58931216
"56" 198.6 132.4 0 192 0 978.4 825.5 7 14.638264956
"57" 475 0 0 228 0 932 594 365 41.934619796
"58" 198.6 132.4 0 192 0 978.4 825.5 3 9.131420144
"59" 304 76 0 228 0 932 670 180 50.94882902
"60" 332.5 142.5 0 228 0 932 594 28 33.01900564
"61" 304 76 0 228 0 932 670 270 54.378282644
"62" 266 114 0 228 0 932 670 270 51.732763232
"63" 310 0 0 192 0 971 850.6 3 9.86640156
"64" 190 190 0 228 0 932 670 270 50.655112244
"65" 266 114 0 228 0 932 670 180 48.695621452
