AL  Alabama         Montgomery
AK  Alaska          Juneau
AR  Arkansas        Little Rock  
AZ  Arizona         Phoenix
CA  California      Sacramento
CO  Colorado        Denver
CT  Connecticut     Hartford
DE  Delaware        Dover
FL  Florida         Tallahassee    
GA  Georgia         Atlanta
HI  Hawaii          Honolulu
IA  Iowa            Des Moines
ID  Idaho           Boise
IL  Illinois        Springfield
IN  Indiana         Indianapolis
KS  Kansas          Topeka
KY  Kentucky        Frankfort
LA  Louisiana       Baton ROute
MA  Massachusetts   Boston
MD  Maryland        Annapolis
ME  Maine           Augusta
MI  Michigan        Lansing
MN  Minnesota       St. Paul
MO  Missouri        Jefferson City
MT  Montana         Helena
MS  Mississippi     Jackson
NC  North Carolina  Raleigh
ND  North Dakota    Bismarck
NE  Nebraska        Lincoln
NH  New Hampshire   Concord
NJ  New Jersey      Trenton
NM  New Mexico      Santa Fe
NV  Nevada          Carson City
NY  New York        Albany
OH  Ohio            Columbus
OK  Oklahoma        Oklahoma City  
OR  Oregon          Salem
PA  Pennsylvania    Harrisburg
RI  Rhode Island    Providence
SC  South Carolina  Columbia
SD  South Dakota    Pierre
TN  Tennessee       Nashville
TX  Texas           Austin
UT  Utah            Salt Lake City
VA  Virginia        Richmond
VT  Vermont         Montpelier
WA  Washington      Olympia
WI  Wisconsin       Madison
WV  West Virginia   Charleston
WY  Wyoming         Cheyenne
