closeDate    propCode  buildYr  area    price
2015 01 14   NWB16020     1981  1546   405000
2015 01 14   PIN13086     1991  1780   484000
2015 01 16   SVL13302     1980  2700   975000
2015 01 23   TYR14082     1991  1610   525000
2015 01 23   DAV13607     1978  3088   649000
2015 01 29   SIT11773     1984  1440   433000
2015 01 07   BEN12032     2000  2535   725000
2015 01 07   NDL11582     2014  2332   808000
2015 01 07   BEN11262     1987  2879   830000
2015 01 09   SSW13475     2005  3510   999000
2015 02 13   NWB13647     1985  2052   425000
2015 02 02   NWB14257     2000  1813   550000
2015 02 23   OSL11511     1984  1828   548000
2015 02 23   OSL11922     1998  1880   580000
2015 02 26   BRO11723     1996  1815   552000
2015 02 27   DAV14188     1980  1368   350000
2015 02 04   SOL13037     2001  1899   622500
2015 02 04   CRI13465     1994  3063   840000
2015 02 05   LAU11222     1994  3121   795000
2015 03 11   WOL15204     1997  1429   490000
2015 03 13   BRO11898     1988  2068   535000
2015 03 17   BOL11239     1995  2003   545400
2015 03 19   ZER11008     1979  1904   430000
2015 03 19   SWI15026     1986  2855   910000
2015 03 20   RAM14052     1980  1320   425000
2015 03 20   CHA11767     1987  1748   500000
2015 03 20   BRO12136     1992  2322   635000
2015 03 23   NWB14398     1981  1152   339000
2015 03 23   SBD11495     1981  1864   390000
2015 03 23   CHR14666     1985  2200   516000
2015 03 23   DAV14926     1998  2544   740000
2015 03 23   ZUR12710     2003  2922   845000
2015 03 25   DAV14745     1985  1314   345000
2015 03 27   ALD15434     2000  1982   679000
2015 03 03   NWB14759     2014  2100   575000
2015 03 31   SPW12450     1999  2626   775000
2015 03 31   HEI13498     2015  2447   865000
2015 03 31   SSW11611     2004  3195   893000
2015 03 06   SWI15279     1994  2214   719000
2015 03 06   SWI13806     2008  4318  1600000
